Exercise Name,AKA,Week,Methods Used,Completion Status,Problem Model,Solution short,Solution,BestTime (minutes),Tips to remember,Speciality To Recognize It,Problem History,Exercise Link
DHL,Two-sequence partition DP with paired moves and separable batch cost,Week 10,"Dynamic Programming, Prefix sum",Rewrite it,"You have two stacks A and B, each with n parcels (values given bottom→top). In each round you must take at least 1 from A and at least 1 from B, and both stacks must become empty in the same round.
If in a round you take ka parcels from the top of A (sum Sa) and kb parcels from the top of B (sum Sb), the round cost is:(Sa − ka) * (Sb − kb).
Goal: minimize total cost over all rounds.","
1. Precompute suffix prefix-sums (top-access in O(1))

You store cumulative sums from the top so that the sum of the next takeA parcels when remA remain is:
sumA = prefA[remA - takeA] - prefA[remA] (same for B).

Then (Sa−ka) and (Sb−kb) are computed in O(1).
2. DP state
dp[i][j] = minimum total cost to empty the stacks when i parcels remain in A and j remain in B (i,j measured from the top as “remaining”).

Answer is dp[n][n].
3. Transitions (structural restriction)

The code only considers moves where one side takes exactly 1 parcel, and the other side takes any positive amount:
• takeA = 1, takeB = 1..j−1
• takeB = 1, takeA = 1..i−1

Update:
dp[i][j] = min( (costBatchA * costBatchB) + dp[i-takeA][j-takeB] )
This relies on the known property for this task: there exists an optimal schedule where every round takes 1 from at least one stack (so you don’t need to consider takeA≥2 AND takeB≥2 at the same time).
1. Initialization

You prefill the “border” cases dp[1][x] and dp[x][1] by forcing the last round to empty both stacks together (because you must take from both each round, so you can’t leave one stack empty early). dp[0][0]=0.","#include <iostream>
#include <vector>
#include <climits>

int main(){
std::ios_base::sync_with_stdio(false);

int t;
std::cin>>t;
while(t--){
int n;  //n = parcels
std::cin>>n;

//Values are represented from the bottom, but it's necessary to take from the top
std::vector<int> values_A(n+1);
for(int i = 0; i < n; i++){
int a;
std::cin>>a;

values_A[i] = a;
}
values_A[n] = 0;  //Easier calculations later

std::vector<int> values_B(n+1);
for(int i = 0; i < n; i++){
int b;
std::cin>>b;

values_B[i] = b;
}
values_B[n] = 0;

//In order to avoid doing sums for every iteration, the sums are already stored in the array
//To get the boxes from i to j included, with i on the top of j (so i >= j), it's necessary to take
//values[j] - values[i+1]
for(int i = n-1; i >= 0; i--){
values_A[i] = values_A[i] + values_A[i+1];
values_B[i] = values_B[i] + values_B[i+1];
}

//dp[i][j] contains the minimum value when there are still i boxes A and j boxes B
//This means that the answer is dp[n][n], that is the case when all boxes are still present
std::vector<std::vector<long>> dp(n+1, std::vector<long>(n+1, LONG_MAX));

//Initialise the DP table considering that it's necessary to get all the last boxes at the same time
for(int i = n-1; i >= 1; i--){
//1 box A (boxes with index from 0 to 0), i boxes B (boxes with index from 0 to i-1)
//There can be a maximum of n-1 box B remaining because, to reach the case where only one box
//Remains in A, it was necessary to take at least one box from B
//Remember that 0 is the last box at the bottom
long cost_A = values_A[0]-values_A[1]-1;
long cost_B = values_B[0]-values_B[i]-i;

dp[1][i] = cost_A * cost_B;

//1 box B (boxes with index from 0 to 0), i boxes A (boxes with index from 0 to i-1)
//There can be a maximum of n-1 box A remaining because, to reach the case where only one box
//Remains in B, it was necessary to take at least one box from A
//Remember that 0 is the last box at the bottom
cost_A = values_A[0]-values_A[i]-i;
cost_B = values_B[0]-values_B[1]-1;

//Using min to avoid problems in the case dp[1][1] where both cases want to set a value
dp[i][1] = std::min(dp[i][1], cost_A * cost_B);
}

//No boxes remaining to take, no value
dp[0][0] = 0;

for(int rem_A = 2; rem_A <= n; rem_A++){
for(int rem_B = 2; rem_B <= n; rem_B++){
int take_A, take_B;

//The best strategy considers only taking 1 box from a pile and any amount from the other
take_A = 1;
for(int take_B = 1; take_B < rem_B; take_B++){
long cost_A = values_A[rem_A-take_A]-values_A[rem_A]-take_A;
long cost_B = values_B[rem_B-take_B]-values_B[rem_B]-take_B;

dp[rem_A][rem_B] = std::min(dp[rem_A][rem_B], cost_Acost_B + dp[rem_A-take_A][rem_B-take_B]);
}

take_B = 1;
for(int take_A = 1; take_A < rem_A; take_A++){
long cost_A = values_A[rem_A-take_A]-values_A[rem_A]-take_A;
long cost_B = values_B[rem_B-take_B]-values_B[rem_B]-take_B;

dp[rem_A][rem_B] = std::min(dp[rem_A][rem_B], cost_Acost_B + dp[rem_A-take_A][rem_B-take_B]);
}
}
}

std::cout<<dp[n][n]<<""\n"";
}
}",,,fuck,Default,https://expert.ethz.ch/solve/ph23TeYZ5yzWtPstg
Hong Kong,Bottleneck reachability in a planar geometric dual graph (max–min path),Week 10,Delaunay triangulation,Learn&ShutUp,"Trees are disks of radius r in the plane. Each balloon starts at a point (x,y) with radius s. After inflation, the balloon is an open disk; it may move continuously without ever overlapping any tree disk (touching is allowed). A balloon is “successful” if it can be moved to some position where it has takeoff clearance: its center is at distance at least r+s from every tree. For each balloon, output y/n. Constraints are large: n up to 4e4, m up to 9e4, t up to 30.","
1. Model the motion as moving the balloon center in “free space” of inflated obstacles

For a balloon of radius s, inflate every tree disk by r+s. Then the balloon center must stay outside all these inflated disks. A path to a valid takeoff spot exists iff the center can reach “far away” (infinity) through corridors that are wide enough, and the starting point is not already inside an inflated disk. 
this (18)
2. Build Delaunay triangulation on tree centers

Delaunay gives the relevant “narrow passages”: the limiting corridors are always between neighboring trees in the triangulation.
3. Build a dual graph on faces (plus an outside node 0)
• Each finite face becomes a node; the outside is node 0.
• Between adjacent faces across a Delaunay edge (u,v), add an undirected edge with weight dist(u,v)^2 (this represents corridor width squared between those two trees).
• Also connect each finite face to node 0 with weight equal to the squared circumradius of that triangle (this represents how much clearance that face provides relative to “open space”).
1. Compute, for every face, the best possible bottleneck clearance to reach outside

Run a “widest path” search from node 0:
• distances[f] = maximum over all paths from 0 to f of (minimum edge weight along the path)

This is exactly Dijkstra with a max-heap, and relaxation new = min(curr, edgeWeight).
1. Answer each balloon query in O(log n)

For balloon center p and radius s:
• Let R = r+s, compare squared values.
• If nearest tree center is closer than R, balloon already intersects an inflated tree ⇒ n.
• Otherwise locate the Delaunay face containing p. If that face’s stored bottleneck value is at least 4*R^2, then there is a path to outside through edges with length ≥ 2R (since corridor condition is dist(u,v) ≥ 2R) ⇒ y, else n.",,,,,Default,https://expert.ethz.ch/solve/gZ88cQbMfExHN9nZF
Targaryen,max matching with 2 layers,Week 10,"Dijkstra, Maximum matching",Completed,"N intersections and M roads of le, we need to count the max number of road to save.

a road is saved if i put a barricade from both starting and ending node.
So each node is an intersection, but at each normal intersection we can put MAX 1 barricade for all the roads.
Except for the plazas, where i can put 2.

To put a barricate ad a certain intersection we need to reach it from at least one of B special intersections within a distance d.","Dijkstra to find all reachable intersections (PAY ATTENTION TO THE ROADS → undirected weighted graph).

",,,,,Default,https://expert.ethz.ch/solve/ww7CHJrKgSAHNhzFA
Fleetrace,Min-Cost Max-Flow with Bypass,Week 10,MinCostMaxFlow,Rewrite it,"N boats, M sailors

how to match all or a subset of them so that we get the maximum excitement (the excitement of a pair boat/sailor is given with an edge bi,si,excitemet_i)","We need a way to skip connection to avoid the objective of max flow, because we prefer min cost

so from each boat add an edge directly to the sink with the MAX cost so that it skips if using it’s worse than skipping it",,,,"NOT NEED MAX FLOW, BUT MAX REWARD.",Not in 2024,https://expert.ethz.ch/solve/EdbGzSmXMQq4juvw7
Augean Stables,Monotone parameter search over LP feasibility (bounded-variable LP),Week 10,"Linear Programming, Sliding Window, Two Pointers",Completed,"There are n stalls. Stall i starts with filth fi and must end with filth ≤ ci. Hercules chooses three hole sizes h1,h2,h3 (real numbers in [0,1]). With redirected river flows a and p, the removed filth in stall i is:
h1*(ki + a^2) + h2*(li + p^2) + h3*(mi + a*p)
A stall is clean if removed filth ≥ fi − ci. Hercules can spend 0..24 whole hours digging each trench; each hour adds some flow increment, so a and p are prefix sums of 24 given integers. Find the minimum total hours (hoursA + hoursB) that makes all stalls clean; else print Impossible!. ","
1. Precompute redirected flows as prefix sums
waterA[h] = sum_{i=1..h} ai, waterB[h] = sum_{i=1..h} pi for h=0..24. 
this (16)
2. For a fixed (workA, workB), build an LP feasibility test

Variables: h1,h2,h3 ∈ [0,1].

For each stall i define updated coefficients:
• k' = ki + a^2
• l' = li + p^2
• m' = mi + a*p
Cleanliness requirement:
h1*k' + h2*l' + h3*m' ≥ fi − ci
CGAL uses A x ≤ b, so you multiply by −1:
−k' h1 − l' h2 − m' h3 ≤ ci − fi
That is exactly what your code sets:
• coefficients (-k, -l, -m)
• RHS (ci - fi)

Feasible ⇔ all stalls can be cleaned with some hole sizes in [0,1].
1. Search minimal hours using a monotone frontier (two pointers)

Start at (workA=0, workB=24) and maintain:
• If infeasible: increase workA (more A-water makes constraints easier because k′, m′ increase).
• If feasible: try decreasing workB (less B-work reduces total hours; may break feasibility).

Track the minimum workA + workB found.
This works because you only move in one direction on each axis, so you visit O(25+25) states instead of all 625.","#include <iostream>
#include <vector>
#include <algorithm>

#include <CGAL/QP_models.h>
#include <CGAL/QP_functions.h>
#include <CGAL/Gmpz.h>

// CRITICAL FIX: Use long long to handle values up to 2^50 (a^2)
// 'int' overflows and causes TLE/Wrong Answer.
typedef long IT;
typedef CGAL::Gmpz ET;

typedef CGAL::Quadratic_program<IT> Program;
typedef CGAL::Quadratic_program_solution<ET> Solution;

struct stall_t {
int f;
int c;
long long k; // Use long long
long long l;
long long m;
};

void solve() {
int n;
if (!(std::cin >> n)) return;

std::vector<stall_t> stalls(n);
for(int i = 0; i < n; i++){
int f, c;
long long k, l, m;
std::cin >> f >> c >> k >> l >> m;
stalls[i] = {f, c, k, l, m};
}

// Cumulative water A
std::vector<long long> waterA(25, 0);
for(int i = 1; i < 25; i++){
int a; std::cin >> a;
waterA[i] = waterA[i-1] + a;
}

// Cumulative water P
std::vector<long long> waterB(25, 0);
for(int i = 1; i < 25; i++){
int b; std::cin >> b;
waterB[i] = waterB[i-1] + b;
}

// Constants for the LP variables
const int h1 = 0;
const int h2 = 1;
const int h3 = 2;

// Initialize LP outside the loop to save allocation time
// Variables h1, h2, h3 are in [0, 1]
Program lp(CGAL::SMALLER, true, 0, true, 1);

// Pre-set the constant RHS (b) part of the constraints
// Constraint: h1*... + h2*... + h3*... >= f - c
// LP (SMALLER): -h1*... - h2*... - h3*... <= c - f
for(int i = 0; i < n; i++){
lp.set_b(i, stalls[i].c - stalls[i].f);
}

int workA = 0;
int workB = 24;
int min_hours = -1; // -1 indicates impossible so far

// ""Sliding Window"" / ""Two Pointer"" search
// We start at (0, 24).
// If feasible: try to reduce sum (workB--)
// If infeasible: try to add resources (workA++)
while(workA <= 24 && workB >= 0){

// Optimization: If the current sum is already worse than or equal to
// a known solution, we don't need to solve the LP. We just need to reduce cost.
if(min_hours != -1 && workA + workB >= min_hours){
workB--;
continue;
}

long long a = waterA[workA];
long long p = waterB[workB];
long long a2 = a * a;
long long p2 = p * p;
long long ap = a * p;

// Update only the coefficients (A matrix)
for(int i = 0; i < n; i++){
// Calculate coefficients using long long to avoid overflow
long long k_coeff = stalls[i].k + a2;
long long l_coeff = stalls[i].l + p2;
long long m_coeff = stalls[i].m + ap;

// Negate because we transformed >= to <=
lp.set_a(h1, i, -k_coeff);
lp.set_a(h2, i, -l_coeff);
lp.set_a(h3, i, -m_coeff);
}

Solution s = CGAL::solve_linear_program(lp, ET());

if(s.is_infeasible()){
// Need more water -> increase workA
workA++;
} else {
// Feasible! Record solution and try to reduce workB
min_hours = workA + workB;
workB--;
}
}

if(min_hours == -1){
std::cout << ""Impossible!\n"";
} else {
std::cout << min_hours << ""\n"";
}
}

int main(){
std::ios_base::sync_with_stdio(false);
int t; std::cin >> t;
while(t--){
solve();
}
return 0;
}",,,"very strange input format, lol

print(”Impossible!”)",Not in 2024,https://expert.ethz.ch/solve/X8Mwp8XF8WCb67ZNB
Lions vs Hyenas,Cut graph (MinCut),Week 11,Minimum Cut,Rewrite it,"N nodes, 2 groups.

each node has an affinity to one of the groups (positive and negative).
Each unordered pair of nodes has an affinity ≥ 0.

Two nodes in particular must be in 2 different groups.

Find minimum dissatisfaction (you get dissatisfaction = affinity if you put a node in the opposite group or if you put two friends in opposite group)

and finde max happines","Basically we need the MinCut (MaxFlow) from two groups.

We get dissatisfaction by removing edges with affinity, so we put only the edges that represent  a positive affinity, if we cut it we will sum to dissatisfaction.

To force one element in one group you connect to source/sink with max edge capacity.

you trie both combinations",,,,2 different outputs depending if b  == 0 or b == 1,Default,https://expert.ethz.ch/solve/nYpBy99WMHGW86WDA
Asterix and the Chariot Race,Minimum Weight Dominating Set on a tree,Week 11,Dynamic Programming,Completed,"We have a tree ad we need to cover each node.
You cover a node is “repaired” of one of its neighbour is repaired.

At each node is assigned a cost for repairing.

Find minimum cost","DP:
base case:
- we have a leaf node, if the parent is repaired return 0, if not repaired return the cost[leaf], else if the parent needed one of the leaf child to repair it, return INFINITY

then, for each node we have 3 state:
1. repair it
2. you father is repaired
3. at least one of your children need to repair itself

So, if you are in state 0, repair + let free choice to all children (take min of all 3 states)

if state == 1,
you can either repair it and let children do anything
else NOT repair but children must repair or ask to their children

if state == 2,
look for the best child to force to repair, for the others let them do what they want.
How to find the node to sacrifice?
Check how much they pay if they repair, and how much they pay if another children do their job.

Take the one with the minimun difference.",,,,,Default,https://expert.ethz.ch/solve/TvJRhGQsXzzuGdZxS
Return of the Jedi,2nd MST,Week 11,Minimum Spanning Tree,Rewrite it,Compute 2nd MST,"How?
For sure we need to add an edge not in the MST, and remove one edge from the MST to avoid adding a cycle.
The main idea is that, if we add a new edge (u,v), and remove any other edge on the UNIQUE path from u → v, we obtain again a tree.
But we want the 2nd MST so we remove the edge with the highest cost (local optimum).

Now we do it for each other edge (global optimum).",,,,2nd test case: star configuration,Default,https://expert.ethz.ch/solve/CeXm4CiLMgGQzyy5R
Sith,"Max size of a component in a graph with all indices ≥ x ",Week 11,"Binary Search, Delaunay triangulation, Union Find",Rewrite it,"You are given $N$ points in a 2D plane, indexed from $0$ to $N-1$.
At each time step $k$ (starting from $k=0$), the node with index $k$ is removed (or becomes ""infected/untouchable""). Two nodes can be connected if their Euclidean distance is at most $R$.
Goal: Find the maximum integer $k$ such that there exists a connected component of size at least $k$ consisting entirely of nodes with indices $\ge k$.

In other words: How long can a group of size $k$ survive if nodes $0, 1, \dots, k-1$ are destroyed?","The problem asks for the maximum $k$ satisfying a condition. Since the condition is monotonic (if a solution works for $k$, it definitely works for $k-1$ because the required size is smaller and more nodes are available), we can use Binary Search on the Answer.

So we do binary search on the max number to look for the max time after that one of our nodes get touched.

so for each binarysearch step, we select only nodes with index ≥ mid and we find max size component via union find.

Then if max size ≥ mid it means we can do better: avoid using the most left nodes so we can have more time to connect.
so
if(best ≥ mid) left = mid+1
else right = mid-1


return left-1","// ETH AlgoLab example code: Compute a Euclidean minimum spanning tree (EMST)
// for n points p_0,...,p_{n-1} in O(n log n) time. Output the edges as ordered
// pairs of vertex indices (smaller first) together with the squared length; for
// instance, an edge between p_4=(0,0) and p_2=(1,2) is printed as ""2 4 5"".

#include <CGAL/Exact_predicates_inexact_constructions_kernel.h>
#include <CGAL/Delaunay_triangulation_2.h>
#include <CGAL/Triangulation_vertex_base_with_info_2.h>
#include <CGAL/Triangulation_face_base_2.h>
#include <boost/pending/disjoint_sets.hpp>
#include <vector>
#include <tuple>
#include <algorithm>
#include <iostream>
#include <bits/stdc++.h>
using namespace std;

// Epic kernel is enough, no constructions needed, provided the squared distance
// fits into a double (!)
typedef CGAL::Exact_predicates_inexact_constructions_kernel K;
// we want to store an index with each vertex
typedef std::size_t                                            Index;
typedef CGAL::Triangulation_vertex_base_with_info_2<Index,K>   Vb;
typedef CGAL::Triangulation_face_base_2<K>                     Fb;
typedef CGAL::Triangulation_data_structure_2<Vb,Fb>            Tds;
typedef CGAL::Delaunay_triangulation_2<K,Tds>                  Delaunay;

// As edges are not explicitly represented in the triangulation, we extract them
// from the triangulation to be able to sort and process them. We store the
// indices of the two endpoints, first the smaller, second the larger, and third
// the squared length of the edge. The i-th entry, for i=0,... of a tuple t can
// be accessed using std::get<i>(t).
typedef std::tuple<Index,Index,K::FT> Edge;
typedef std::vector<Edge> EdgeV;



void compute_emst() {
Index n;
std::cin >> n;
Index r; cin >> r;

// read points: first, we read all points and store them into a vector,
// together with their indices
typedef std::pair<K::Point_2,Index> IPoint;
std::vector<IPoint> points;
points.reserve(n);
for (Index i = 0; i < n; ++i) {
int x, y;
std::cin >> x >> y;
points.emplace_back(K::Point_2(x, y), i);
}


Index left = 2, right = n/2;
while(left <= right){
Index mid = left + (right-left)/2;
Delaunay t;
t.insert(points.begin()+mid, points.end());

EdgeV edges;
edges.reserve(3n); // there can be no more in a planar graph
for (auto e = t.finite_edges_begin(); e != t.finite_edges_end(); ++e) {
Index i1 = e->first->vertex((e->second+1)%3)->info();
Index i2 = e->first->vertex((e->second+2)%3)->info();
// ensure smaller index comes first
if (i1 > i2) std::swap(i1, i2);
if(t.segment(e).squared_length() <= rr) edges.emplace_back(i1, i2, t.segment(e).squared_length());
}


// setup and initialize union-find data structure
boost::disjoint_sets_with_storage<> uf(n);
vector<Index> sizes(n,1);
Index curr_best = 0;
for (EdgeV::const_iterator e = edges.begin(); e != edges.end(); ++e) {
// determine components of endpoints
Index c1 = uf.find_set(std::get<0>(*e));
Index c2 = uf.find_set(std::get<1>(*e));
if (c1 != c2) {
Index old1 = sizes[c1], old2 = sizes[c2];
uf.link(c1, c2);
Index c3 = uf.find_set(std::get<0>(*e));
sizes[c3] = old1 + old2;
curr_best = max(curr_best, sizes[c3]);
}
}

if(curr_best >= mid) {
left = mid + 1;
}
else {
right = mid - 1;
}
}
cout << left-1 << ""\n"";


}

int main()
{
std::ios_base::sync_with_stdio(false);
std::size_t t;
for (std::cin >> t; t > 0; --t) compute_emst();
return 0;
}",,,,Default,https://expert.ethz.ch/solve/QGBqTJuHvwrD6PmeF
Legions,LP of v = s/t,Week 11,Linear Programming,Completed,"We have a point inside a convex hull defined by n lines.

each line is moving pointing the dot each with different speed.

Find the max time before one line reaches it","Simply equation of time

the variable time to maximize is less than the distance to any other line / speed of line",,,,,Default,https://expert.ethz.ch/solve/CB3uJChdaXBc7PyPp
Alice and the Hurried Rabbit Clan,Shortest path with cumulative cost,Week 12,"Dynamic Programming, Prefix sum",Rewrite it,"You are given an $N \times M$ grid where each cell $(i, j)$ contains a number of rabbits, denoted as $r_{i,j}$1. Alice starts at $(0,0)$ and must reach the caterpillar at $(N-1, M-1)$ by moving only East (Right) or South (Down)2.+1

The rabbits also move only East or South. A rabbit at $(i, j)$ travels the minimum distance to reach any cell occupied by Alice's path3.


Goal: Find a path $P$ for Alice that minimizes the total distance traveled by all rabbits in the grid4.","Instead of simulating individual rabbit paths, we calculate the ""penalty cost"" incurred by Alice's movements. We model this as finding the shortest path (minimum cost) on a DAG from $(0,0)$ to $(N-1, M-1)$.
If Alice is at cell $(i, j)$, she has two choices:
1. Go Right ($j \to j+1$):
    ◦ Effect: Alice moves away horizontally.
    ◦ Cost: All rabbits located in the Bottom-Left relative to Alice (Rows $i+1 \dots N-1$, Columns $0 \dots j$) must now travel at least one extra step East to intercept the path later.
    ◦ Calculation: Sum of rabbits in the rectangle defined by top-left $(i+1, 0)$ and bottom-right $(N-1, j)$.
2. Go Down ($i \to i+1$):
    ◦ Effect: Alice moves away vertically.
    ◦ Cost: All rabbits located in the Top-Right relative to Alice (Rows $0 \dots i$, Columns $j+1 \dots M-1$) are left ""waiting"" above. They must travel extra distance to catch the path as it descends.
    ◦ Calculation: Sum of rabbits in the rectangle defined by top-left $(0, j+1)$ and bottom-right $(i, M-1)$.
Algorithm:
• Precomputation: Build a 2D Prefix Sum array to calculate the rectangular sums in $O(1)$ time.
• Dynamic Programming:
Let $DP[i][j]$ be the minimum cost to reach $(N-1, M-1)$ from $(i, j)$.
$$DP[i][j] = \min \begin{cases} DP[i][j+1] + \text{Sum}(\text{Bottom-Left}) & (\text{Right Move}) \\ DP[i+1][j] + \text{Sum}(\text{Top-Right}) & (\text{Down Move}) \end{cases}$$
• Result: The value at $DP[0][0]$.",,,,,Default,https://expert.ethz.ch/solve/nDExBRMeNFhbyZNac
Harry Potter,,Week 12,"Binary Search, Linear Programming",Rewrite it,"Harry Potter must deliver a truth potion to Slughorn ($p_1$) from himself ($p_2$) via a network of friends ($p_3 \dots p_n$)1.

• 
Flow: Transfers ($i \to j$) have efficiency $e_{ij}$ (loss of volume) and generate suspicion $d_{ij}$ per unit2.

• Constraints: Harry starts with $a$ units; Slughorn needs $\ge b$ units; total suspicion of all transfers must be $\le c$3.

• Goal:
    1. Find the smallest index $k$ (subset of friends $p_1 \dots p_k$) that makes the delivery possible4.

    2. For that $k$, minimize the maximum suspicion $s$ generated by any single link5.","This is a Linear Programming (LP) problem.
1. Find Min $k$: Iterate or binary search $k$ ($2 \to n$). Construct an LP using only nodes $1 \dots k$ with flow conservation, efficiency losses, and the total suspicion constraint ($\sum d_{ij}x_{ij} \le c$). The first feasible $k$ is the answer.
2. Find Min $s$: Fix $k$. Add constraints $d_{ij} x_{ij} \le S$ for every edge. Set the objective to Minimize $S$.
3. 
Output: If infeasible for all $k$, output ""Busted!""6. Otherwise, print $k$ and $\lceil S \rceil$ using exact arithmetic types7.",,,,Output “Busted!”,Default,https://expert.ethz.ch/solve/Z73T7urzu99sZZQ2t
Evolution,Binary Lifting,Week 12,Binary Lifting,Rewrite it,"We have a tree with n nodes, each node represent a specie with a string name and age.

You are given n-1 connection specie → direct ancestor.

Answer to q queries: given a name of a specie and an age, find the highest ancestor with age ≤ age_given",Binary Lifting,,,,,Not in 2024,https://expert.ethz.ch/solve/NmivTM3xmEv4cxHjG
Marathon,MaxFlow in ONLY all shortest path of a graph,Week 12,"Dijkstra, MaxFlow",Completed,"We have n nodes and m undirected streets, one node represent the start of the race and another the end.

Each street has a max capacity and a length.

Find the max number of runners that can join the race by running only in a shortest path of the graph.","Basically we would like to do max flow but we need to discard the streets not in a shortest path.

So how to know if a street is in a shortest path?
If dist_from_start(u) + length(u,b) + distace_from_end(v) == LEGTH_SHORTEST_PATH.

But be careful: dist_from_start(u) ≤ dist_from_start(v), so swap them if not.",,,,,Default,https://expert.ethz.ch/solve/Rx5ixdhmDAtKsX7v9
The Stymphalian Birds,Scheduling tasks with deadlines respecting a tree order,Week 12,"Constraint Propagation, Greedy",Completed,"We have $n$ birds ($b_0 \dots b_{n-1}$), each with a specific deadline $t_i$ before they attack2222.
They form a hierarchical formation where bird $b_i$ is physically behind $b_{2i+1}$ and $b_{2i+2}$, meaning the two ""children"" must be shot before the ""parent"" $b_i$3.
Hercules shoots 1 bird per second4. Can he clear them all in time? | This is a Single Machine Scheduling problem with precedence constraints.","We can encode the dependencies ($children \to parent$) into the deadlines: a child must be shot at least 1 second before its parent.
1. Propagate Deadlines: Iterate from $0$ to $n$ (top-down). Update $t_{child} = \min(t_{child}, t_{parent} - 1)$.
2. Greedy (EDF): Sort all birds by their new deadlines. Check if the $i$-th bird in the sorted list satisfies $i < t_{new}$ (strictly before deadline).",,,,,Default,https://expert.ethz.ch/solve/Q69M3M2YSnWJP3Kfv
Surveillance Photograph,Maximum flow on a directed graph with node-splitting (2-layer graph),Week 13,"2-layer Graph, MaxFlow",Completed,"You have a directed road network with n intersections and m one-way streets. There are k police stations (each provides one policeman + one safe) and ℓ photographs at intersections (multiple can be at the same intersection).
Each policeman can collect at most one photograph: travel from a station to a photo location (empty-handed), then travel (carrying the photo) to some station to store it.
Security rule: each street can be used by at most one policeman while carrying a photograph, but streets can be reused arbitrarily by policemen who are not carrying a photo.
Goal: compute the maximum number of photographs that can be safely collected.","The code models this as a max-flow problem using node-splitting:
• Build a flow graph with 2 copies of each intersection: u_in = u, u_out = u+n.
• Add a super source S and sink T.
• For each police-station location x (k entries, duplicates allowed):
    ◦ Add S -> x_in capacity 1 (each policeman can start once).
    ◦ Add x_out -> T capacity 1 (each safe can store one photo).
• For each photograph location x (ℓ entries, duplicates allowed):
    ◦ Add x_in -> x_out capacity 1 (at most one collected photo can “pass through” that photo token).
• For each street x -> y:
    ◦ Add x_in -> y_in capacity (k+ℓ) (moving without a photo: effectively unlimited).
    ◦ Add x_out -> y_out capacity 1 (moving while carrying a photo: limited to one, enforcing the security rule).
Then it runs push_relabel_max_flow(G, S, T).

Each unit of flow corresponds to one policeman successfully routing:
S -> (start station)_in -> ... -> (photo)_in -> (photo)_out -> ... -> (end station)_out -> T

The max flow value is exactly the maximum number of photos that can be collected under the constraints.",,,,,Default,https://expert.ethz.ch/solve/MAvJkfxkq23FRBYND
Queen of Hearts,MinCut with node capacity,Week 13,"Dijkstra, Minimum Cut, NodeCapacity",Completed,"Remove (steal) the fewest carrots (and on grumpy days pay the fewest rabbits) so the Queen cannot traverse the garden from entrance (0) to exit (r+1), given that every additional path step after the first requires eating one carrot available at rabbit openings.","For each rabbit compute deliverable carrots res = c_i − dist(0, n_i−1) via Dijkstra on its burrow, build a node-split flow network with split-edge capacity res (or 1 for coin mode) and infinite-capacity garden arcs, then output the min-cut value via push_relabel_max_flow (twice if d=1).",,,,,Default,https://expert.ethz.ch/solve/sa79JHPf7Mjc4BntP
Rapunzel,Return all nodes in a tree where starts a branch of size m with max(branch) - min(branch) ≤ k,Week 13,"Backtracking, Tree Traversal",Completed,"You are given a rooted directed tree (hair ties), where for every node u there is exactly one path (rope) from the root 0 to u. Each node i has a brightness value hᵢ. For a fixed length m, you must find all start nodes s such that the path segment of length m starting at s (i.e., m consecutive nodes on some root→leaf path) has contrast ≤ k, where contrast is max(h) − min(h) over those m nodes. If none exist, print “Abort mission”.","The code runs a DFS from the root while maintaining the current root→node path in a stack. Along this path it keeps a multiset of brightness values for the last m nodes (a sliding window).
At each visited node:
• Insert its brightness into the multiset and push the node onto the path stack.
• Once the path length reaches m, compute min and max from the multiset in O(1) (begin/rbegin).
• The window corresponds to the last m nodes; the start of that length-m segment is the node at index path_size - m. If max - min ≤ k, that start node is added to the answer set.
• Then it “slides” the window by temporarily removing the start node’s brightness before going deeper, and restores it when backtracking.","#include <bits/stdc++.h>
using namespace std;

int m, k;
void dfs(const vector<vector<int>>& tree,
const vector<int>& br, int u,
multiset<int>& ms,
vector<int>& vStack,
set<int>& res){
vStack.push_back(u);
ms.insert(br[u]);
//cout << ""in node: ""<<u<<""\n"";
int removed_elem = -1;
if(int(ms.size()) == m){
int min_val = *ms.begin();
int max_val = *ms.rbegin();
//cout <<min_val <<"" - ""<<max_val<<""\n"";
int first_node = vStack[vStack.size()-m];
//cout << ""first_node: ""<<first_node<<""\n"";
if(max_val - min_val <= k) res.insert(first_node);
ms.erase(ms.find(br[first_node]));
removed_elem = br[first_node];
}
for(int v: tree[u]){
dfs(tree, br, v, ms, vStack, res);
}
if(removed_elem != -1) ms.insert(removed_elem);
ms.erase(ms.find(br[u]));
vStack.pop_back();
}

void solve(){
int n;
cin >> n >> m >> k;
vector<int> br(n);
for(int i = 0; i < n; ++i){
cin >> br[i];
}
vector<vector<int>> tree(n);
for(int i = 0; i < n-1; ++i){
int u, v; cin >> u >> v;
tree[u].push_back(v);
}
multiset<int> ms;
vector<int> vStack;
set<int> res;
dfs(tree, br, 0, ms, vStack, res);
for(int num: res) cout << num << "" "";
if((int)res.size() == 0) cout << ""Abort mission"";
}

int main(){
ios_base::sync_with_stdio(false);
int t; cin >> t;
while(t--){
solve(); cout << ""\n"";
}
if(cin >> t) cout << ""j<nci\n"";
}",,,Output: “Abort Mission”,Default,https://expert.ethz.ch/solve/aScTGF8THFXDPZ86o
